subject,avg_assBB_6,avg_assBB_8,avg_assBO_6,avg_assBO_8,avg_assOB_6,avg_assOB_8,avg_assOO_6,avg_assOO_8,avg_assBB,avg_assBO,avg_assOB,avg_assOO
12,56.5,53.583332,60,50,29,,62,60,54.75,56.666668,29,61.333332
13,53.833332,61.900002,40.5,30,,20,57.75,,58.875,37,20,57.75
14,60.272728,58.666668,21.333334,0,,0,85,,59.434784,12.8,0,85
15,61.142857,65.583336,22,33,1,,68.666664,,63.947369,27.5,1,68.666664
16,78.800003,79.5,34.333332,15,0,0,70.666664,,79.230766,20.799999,0,70.666664
17,50,50,50,50,50,50,50,,50,50,50,50
18,75.059998,78.629997,18.83,20.01,.56999999,,67.105003,66.889999,77.023499,19.538,.56999999,67.033333
19,70.25,54,31.666666,23.75,34,,63.333332,,61.222221,27.142857,34,63.333332
20,40.857143,63.18182,44.333332,,30,45,50,54,54.5,44.333332,37.5,52
21,65,48.888889,50,0,1,1,66,,56.470589,37.5,1,66
22,55,55,40,,,30,45,,55,40,30,45
35,47.5,51.700001,53.25,47.5,,0,66.599998,66.599998,49.970589,51.333332,0,66.599998
36,58.57143,70.755455,37.142857,42.5,,30,71,,66.01722,39.090908,30,71
37,51.355713,64.900002,21.666666,,23.333334,35,68.333336,25,59.322941,21.666666,30.625,57.5
38,47.584999,51.535999,50.342499,41.209999,.51499999,1.255,78.610001,,49.779999,45.776249,.88499999,78.610001
39,52.5,56.450001,27.333334,59.5,0,0,79,71.5,54.474998,40.200001,0,74
40,68.777779,69.275002,26.666666,10,0,0,70,,69.080437,22.5,0,70
41,47.42857,43.223076,49.25,35,0,0,65.425003,,44.695,44.5,0,65.425003
42,53.81818,53.442142,30,30,0,0,60,,53.607601,30,0,60
43,46.74818,45.098183,29.35,20.01,0,0,63.369999,66,45.923183,26.236666,0,64.684998
44,47.454544,40.5,35,30,0,,78,72,43.560001,33.75,0,75
45,59.799999,60.293999,9.75,13,3.6666667,12,62,73,60.129333,11.142858,5.75,65.666664
46,59.142857,65.625,0,0,0,0,66,66,62.599998,0,0,66
105,55.744286,52.853848,46.400002,55,,0,63.514999,,53.865501,47.833332,0,63.514999
106,59.0825,52.18182,20,26,0,,66.660004,,55.087368,23.333334,0,66.660004
107,40,40,40,,40,40,40,,40,40,40,40
108,38.580002,35.671112,30.065001,23.645,,,23.396667,0,37.125557,26.212999,,17.547501
109,80,80,18.6,29,24.333334,29,80,,80,21.571428,25.5,80
110,45.5,43.636364,45,48.333332,,30,50,40,44.523811,46.25,30,45
111,52,50.642857,31.254999,,0,0,70,,51.208332,31.254999,0,70
112,70.375,81.14286,43.833332,43.42857,,44,61.5,,75.400002,43.615383,44,61.5
113,50,50,58.330002,50,,,66.660004,66.660004,50,53.332001,,66.660004
114,37.125,50.599998,33,33,33,,33,,45.913044,33,33,33
115,59.875,76.92308,21,15,30,40,45,,70.428574,20,36.666668,45
116,61.25,60.5,38.333332,26,55,,35,10,60.714287,32.727272,55,30
153,34.683334,37.634167,27.309999,31.4,,35.895,32.5,39.93,36.369522,27.991667,35.895,34.976665
154,25,57.099998,23.333334,32.5,40,12.5,40,65,42.833332,27,21.666666,48.333332
155,65.625,63.5,50.666668,36.200001,,45.666668,60.5,62,64.714287,44.090908,45.666668,61.25
156,45.89143,44.933334,45,14.333333,0,0,66.660004,66.599998,45.352501,34.777779,0,66.629997
157,39.285713,35,39.375,37.5,,,40,33.333332,36.666668,39,,35
158,61.673332,73.923332,40,50.476665,,0,66.440002,66.629997,67.798332,43.928749,0,66.554001
159,56.876999,62.161537,22.225,13.08,0,0,,,59.863914,19.176666,0,
160,68.666664,69.800003,22.5,25,5,,,72.5,69.263161,23.5,5,72.5
161,36.442001,50.863636,40.572498,15.47,71.559998,69.510002,36.860001,15.93,43.996189,29.814285,70.535004,26.395
162,68.333336,47.444443,20,24.333334,,0,40,,59.380951,23.25,0,40
163,53.591251,50.067692,50.397999,80,0,,67.5,100,51.41,55.331665,0,83.75
164,65,65,25,1,0,.5,65,65,65,21.571428,.33333334,65
